ini_Kpp,ini_Kvp,sys_num
150,500,1
150,500,2
150,500,3
150,500,4
150,500,5
50,150,6
50,150,7
20,50,8
20,100,9
50,150,10
150,500,11
150,500,12
150,500,13
150,500,14
150,500,15
150,500,16
150,500,17
150,500,18
150,500,19
150,500,20
150,500,21
150,500,22
150,500,23
150,500,24
150,500,25
150,500,26
150,500,27
150,500,28
150,500,29
150,500,30
150,500,31
150,500,32
150,500,33
150,500,34
150,500,35
150,500,36
150,500,37
150,500,38
150,500,39
150,500,40
50,150,41
50,150,42
50,150,43
50,150,44
50,150,45
50,150,46
50,150,47
50,150,48
50,150,49
50,150,50
20,50,51
20,50,52
20,50,53
20,50,54
20,50,55
20,50,56
20,50,57
20,50,58
20,50,59
20,50,60
50,150,61
50,150,62
50,150,63
50,150,64
50,150,65
50,150,66
50,150,67
50,150,68
50,150,69
50,150,70
