sys_num,J1,J2,war,wr,K12,C12,fc_min,fc_max,fs_min,fs_max,B_sys,best_Kpp,best_Kvp,GM_velocity,overshoot,settling_time,max_Kpp,min_Kpp,max_Kvp,min_Kvp
1,4.50E-05,7.20E-05,5041.516527,8129.201136,1830.016,0.03844,-0.033249,0.027123,-0.04,0.04,0.00034574,250,590,10.0483151,1.251307051,0.01,950,150,950,150
2,4.50E-05,0.000177645,5887.446376,13095.65366,6157.5354,0.055938,-0.035,0.025,-0.04,0.04,0.00024646,230,890,10.00768508,0.171627976,0.013,950,150,950,150
3,4.50E-05,0.00025596,4690.40743,12129.94136,5631.1,0.07,-0.0286,0.0228,-0.04,0.04,0.00023387,210,950,10.03446545,2.354186288,0.015,950,150,950,150
4,1.77E-05,0.00014688,8237.603746,25119.02586,9967,0.02,0,0,0,0,0,260,960,10.08433024,0.550565743,0.011,950,150,950,150
5,3.70E-06,5.20E-07,15489.91607,16542.62512,124.7675,0.00033,0,0,0,0,0,350,760,10.03584847,2.914048424,0.005,950,150,950,150
6,2.54E-05,5.63E-05,460.0196922,825.031619,11.9141,0.01,0,0,0,0,0,90,220,10.05381359,2.133253957,0.024,300,100,300,100
7,2.54E-05,7.32E-05,414.1915557,816.0614068,12.5578,0.0113,0,0,0,0,0,70,180,10.14460769,1.454681552,0.031,250,100,250,100
8,2.65E-05,0.00017239,176.3695344,483.1779482,5.3624,0.007,0,0,0,0,0,30,90,10.65165853,0.290493182,0.077,150,55,150,55
9,0.000153,0.00053023,168.7654909,356.632892,15.1019,0.0303,0,0,0,0,0,50,160,10.27031671,0.399233292,0.043,200,100,200,100
10,7.40E-06,5.03E-06,1704.041506,2208.51256,14.6059,0.0022,0,0,0,0,0,150,340,10.08668162,2.480656861,0.014,400,100,400,100
11,0.000135,0.000675,7469.939759,18297.54082,37665,0.210006,0,0,0,0,0,130,960,10.01602,0.138272,0.024,950,30,950,30
12,0.00018,0.0009,7469.939759,18297.54082,50220,0.280008,0,0,0,0,0,110,960,10.01602,0.102248,0.032,950,30,950,30
13,0.000225,0.001125,7469.939759,18297.54082,62775,0.35001,0,0,0,0,0,100,960,10.01602,0.088198,0.036,950,30,950,30
14,0.00027,0.00135,7469.939759,18297.54082,75330,0.420012,0,0,0,0,0,100,960,10.01602,1.811892,0.033,950,30,950,30
15,0.000315,0.001575,7469.939759,18297.54082,87885,0.490014,0,0,0,0,0,90,960,10.01602,0.963937,0.036,950,30,950,30
16,0.00036,0.0018,7469.939759,18297.54082,100440,0.560016,0,0,0,0,0,80,960,10.01602,0.117846,0.043,950,30,950,30
17,0.000405,0.002025,7469.939759,18297.54082,112995,0.630018,0,0,0,0,0,80,960,10.01602,0.583386,0.041,950,30,950,30
18,0.00045,0.00225,7469.939759,18297.54082,125550,0.70002,0,0,0,0,0,80,960,10.01602,3.006415,0.051,950,30,950,30
19,4.50E-05,0.000225,7469.939759,18297.54082,12555,0.070002,0,0,0,0,0,210,960,10.01602,1.836983,0.014,950,30,950,30
20,9.00E-05,0.00045,7469.939759,18297.54082,25110,0.140004,0,0,0,0,0,160,960,10.01602,0.172364,0.02,950,30,950,30
21,0.000135,6.67E-05,5654.866776,6911.503838,2131.834551,0.018506837,0,0,0,0,0,240,770,10.00003761,1.591631245,0.012,950,30,950,30
22,0.00018,8.89E-05,5654.866776,6911.503838,2842.446068,0.024675782,0,0,0,0,0,210,770,10.00003761,0.437487193,0.014,950,30,950,30
23,0.000225,0.000111111,5654.866776,6911.503838,3553.057584,0.030844728,0,0,0,0,0,190,770,10.00003761,0.010137027,0.016,950,30,950,30
24,0.00027,0.000133333,5654.866776,6911.503838,4263.669101,0.037013673,0,0,0,0,0,180,770,10.00003761,1.431247102,0.017,950,30,950,30
25,0.000315,0.000155556,5654.866776,6911.503838,4974.280618,0.043182619,0,0,0,0,0,170,770,10.00003761,1.792884464,0.018,950,30,950,30
26,0.00036,0.000177778,5654.866776,6911.503838,5684.892135,0.049351565,0,0,0,0,0,160,770,10.00003761,1.189902607,0.02,950,30,950,30
27,0.000405,0.0002,5654.866776,6911.503838,6395.503652,0.05552051,0,0,0,0,0,150,770,10.00003761,0.590033485,0.021,950,30,950,30
28,0.00045,0.000222222,5654.866776,6911.503838,7106.115169,0.061689456,0,0,0,0,0,140,770,10.00003761,0.009462127,0.023,950,30,950,30
29,4.50E-05,2.22E-05,5654.866776,6911.503838,710.6115169,0.006168946,0,0,0,0,0,310,770,10.00003761,1.089877485,0.008,950,30,950,30
30,9.00E-05,4.44E-05,5654.866776,6911.503838,1421.223034,0.012337891,0,0,0,0,0,280,770,10.00003761,1.867660463,0.01,950,30,950,30
31,0.000135,9.32E-05,6283.185307,8168.140899,3677.4146,0.027012864,0,0,0,0,0,220,660,10.1120527,1.212809247,0.013,950,30,950,30
32,0.00018,0.0001242,6283.185307,8168.140899,4903.219466,0.036017151,0,0,0,0,0,200,660,10.1120527,1.197604254,0.015,950,30,950,30
33,0.000225,0.00015525,6283.185307,8168.140899,6129.024333,0.045021439,0,0,0,0,0,180,660,10.1120527,0.825671129,0.017,950,30,950,30
34,0.00027,0.0001863,6283.185307,8168.140899,7354.8292,0.054025727,0,0,0,0,0,170,660,10.1120527,1.864730559,0.018,950,30,950,30
35,0.000315,0.00021735,6283.185307,8168.140899,8580.634066,0.063030015,0,0,0,0,0,160,660,10.1120527,1.681787915,0.019,950,30,950,30
36,0.00036,0.0002484,6283.185307,8168.140899,9806.438933,0.072034303,0,0,0,0,0,150,660,10.1120527,0.55757787,0.021,950,30,950,30
37,0.000405,0.00027945,6283.185307,8168.140899,11032.2438,0.081038591,0,0,0,0,0,140,660,10.1120527,0.023445867,0.022,950,30,950,30
38,0.00045,0.0003105,6283.185307,8168.140899,12258.04867,0.090042879,0,0,0,0,0,130,660,10.1120527,0.004018341,0.025,950,30,950,30
39,4.50E-05,3.11E-05,6283.185307,8168.140899,1225.804867,0.009004288,0,0,0,0,0,290,660,10.11205267,1.666959815,0.008,950,30,950,30
40,9.00E-05,6.21E-05,6283.185307,8168.140899,2451.609733,0.018008576,0,0,0,0,0,250,660,10.11205266,0.712051028,0.011,950,30,950,30
41,0.0001016,0.000105747,439.8229715,628.3185307,20.45613687,0.001953417,0,0,0,0,0,130,360,10.02342179,0.894545545,0.016,700,30,700,30
42,0.000127,0.000132184,439.8229715,628.3185307,25.57017108,0.002441771,0,0,0,0,0,140,360,10.02342179,2.951163921,0.015,700,30,700,30
43,0.0001524,0.00015862,439.8229715,628.3185307,30.6842053,0.002930126,0,0,0,0,0,130,360,10.02342179,0.932652054,0.017,700,30,700,30
44,0.0001778,0.000185057,439.8229715,628.3185307,35.79823952,0.00341848,0,0,0,0,0,130,360,10.02342179,1.213139909,0.018,700,30,700,30
45,0.0002032,0.000211494,439.8229715,628.3185307,40.91227373,0.003906834,0,0,0,0,0,140,360,10.02342179,2.490720622,0.018,700,30,700,30
46,0.0002286,0.000237931,439.8229715,628.3185307,46.02630795,0.004395189,0,0,0,0,0,140,360,10.02342179,2.168744302,0.019,700,30,700,30
47,0.000254,0.000264367,439.8229715,628.3185307,51.14034216,0.004883543,0,0,0,0,0,140,360,10.02342179,2.455616604,0.02,700,30,700,30
48,2.54E-05,2.64E-05,439.8229715,628.3185307,5.114034216,0.000488354,0,0,0,0,0,130,360,10.02342179,0.97487284,0.015,700,30,700,30
49,5.08E-05,5.29E-05,439.8229715,628.3185307,10.22806843,0.000976709,0,0,0,0,0,130,360,10.02342179,0.972313355,0.015,700,30,700,30
50,7.62E-05,7.93E-05,439.8229715,628.3185307,15.34210265,0.001465063,0,0,0,0,0,130,360,10.02342179,0.962893141,0.016,700,30,700,30
51,0.000106,0.000647778,188.4955592,502.6548246,23.01591746,0.002747323,0,0,0,0,0,40,100,10.29210008,2.101485138,0.053,190,30,190,30
52,0.0001325,0.000809722,188.4955592,502.6548246,28.76989683,0.003434153,0,0,0,0,0,40,100,10.29210008,2.104157711,0.053,190,30,190,30
53,0.000159,0.000971667,188.4955592,502.6548246,34.5238762,0.004120984,0,0,0,0,0,40,100,10.29210008,2.107380738,0.053,190,30,190,30
54,0.0001855,0.001133611,188.4955592,502.6548246,40.27785556,0.004807815,0,0,0,0,0,40,100,10.29210008,2.107262446,0.053,190,30,190,30
